pVal	phase	peak.shape	period
Add2	0.00681381676834041	20	12	24
Add3	0.0346194265281409	16	4	24
Adgb	0.0108056013208113	8	20	24
Adgra1	0.0122708522393892	4	12	24
Adgra2	0.00681381676834041	20	12	24
Adgrb1	0.0462298581812637	4	8	24
Adgrb2	0.00356632382271221	20	12	24
Adgre1	0.0067466409122486	4	8	24
Adgre4	0.000399292472034108	8	4	24
Adgrf1	3.94561165253671e-05	8	12	24
Adgrf4	0.0346194265281409	20	4	24
Adgrg1	0.0241557393095539	20	20	24
Adgrg2	0.000327103933774818	16	12	24
Adgrg3	0.000327103933774818	8	12	24
Adgrg6	0.0116586184110202	8	8	24
Adgrl1	0.131843304698487	20	8	24
Adgrl2	0.0209352881505645	8	12	24
Adgrl3	0.0346194265281409	16	20	24
Adgrl4	0.113063729264856	24	12	24
Adgrv1	0.0659374832170001	4	4	24
Adh1	0.227651095409953	24	16	24
Adh4	3.18194488107799e-07	8	12	24
Adh5	0.0528632412817892	16	12	24
Adh7	0.18376510903103	8	20	24
Adhfe1	0.000174350632847049	12	16	24
Adi1	0.00192446500279571	16	8	24
Adig	0.0483585663030278	20	4	24
Adipoq	0.00370728070621325	8	8	24
Adipor1	0.00356632382271221	16	12	24
Adipor2	0.0163963196072215	24	20	24
Adm	0.0528632412817892	24	12	24
Adm2	0.0304083430759586	24	16	24
Adnp2	0.0067466409122486	8	8	24
Ado	0.0677673291651841	20	16	24
Adora1	1.69436960978668e-07	12	16	24
Adora2a	2.10101831613548e-05	4	8	24
Adora2b	0.0241557393095539	20	20	24
Adpgk	0.00174402398931885	20	12	24
Adprh	3.18194488107799e-07	4	12	24
Adprhl1	0.00370728070621325	20	16	24
Adprhl2	0.0677673291651841	4	16	24
Adprm	0.0340242184188789	8	12	24
Adra1a	0.0108056013208113	12	4	24
Adra1b	0.000174350632847049	24	16	24
Adra2a	0.0241557393095539	20	20	24
Adra2b	0.0346194265281409	8	4	24
Adra2c	0.0163963196072215	20	20	24
Adrb1	0.0483585663030278	4	4	24
Adrb3	0.0122708522393892	8	12	24
Adsl	0.0192353309951033	8	8	24
Adss	0.271644225470069	16	12	24
Adssl1	0.0067466409122486	12	16	24
Adtrp	0.0304083430759586	24	16	24
