pVal	phase	peak.shape	period
3830406C13Rik	0.111234528499891	4	14	24
3830417A13Rik	0.94326313388744	6	4	24
4430402I18Rik	0.0491719471315463	10	6	24
4632404H12Rik	0.728069156386917	16	12	24
4632415L05Rik	0.909932883471458	10	4	24
4833420G17Rik	0.00132463470977736	16	8	24
4833427G06Rik	0.551404992200685	4	8	24
4921504E06Rik	0.82846981445689	18	16	24
4921507P07Rik	0.181391482161076	18	20	24
4921517D22Rik	0.891686509321914	10	16	24
4921524J17Rik	5.12258624841458e-07	22	18	24
4921524L21Rik	0.250352920738906	18	20	24
4921530L21Rik	0.486248620733157	16	10	24
4921536K21Rik	0.44397331878936	24	4	24
4922502D21Rik	0.818702912511167	14	20	24
4930415O20Rik	0.187295765023142	22	12	24
4930429B21Rik	0.361285439464339	22	14	24
4930430A15Rik	0.445021288780865	22	4	24
4930430F08Rik	9.58794241120649e-05	24	16	24
4930432K21Rik	0.961137366822124	14	14	24
4930433N12Rik	0.89757164110238	22	12	24
4930447C04Rik	0.348124536161026	4	10	24
4930451I11Rik	0.138813085353616	22	12	24
4930452B06Rik	0.921807383093003	6	4	24
4930465K10Rik	0.923176984276974	6	14	24
4930470P17Rik	0.888827571691038	12	14	24
4930471G03Rik	0.467431631639585	24	10	24
4930474N05Rik	0.356473605042211	24	12	24
4930483J18Rik	0.421662641094641	22	14	24
4930486L24Rik	0.0254746782051713	14	12	24
4930503B20Rik	0.00639256847965818	22	16	24
4930503L19Rik	0.267296802512309	20	18	24
4930505A04Rik	0.474186772009413	14	12	24
4930515G01Rik	0.216329793157365	16	20	24
4930519G04Rik	0.862913080427441	24	14	24
4930522H14Rik	0.644230080886387	24	14	24
4930524B15Rik	0.0731534441125577	14	8	24
4930539E08Rik	0.227223709824798	24	10	24
4930544G11Rik	0.181051945324291	24	10	24
4930544M13Rik	0.803653885773562	6	4	24
4930548H24Rik	0.687897450975749	20	10	24
4930550C14Rik	0.878246291075668	24	10	24
4930556L07Rik	0.0607162810898434	22	20	24
4930578I06Rik	0.849494489403317	6	14	24
4930579K19Rik	0.356473605042211	24	16	24
4930591A17Rik	0.141613135263334	20	14	24
4931406B18Rik	0.917234437434414	16	18	24
4931406C07Rik	1.62184267894027e-05	4	14	24
4931406H21Rik	0.534556800712106	10	4	24
4931414P19Rik	0.000938442385373965	2	18	24
4931417E11Rik	0.573390658867244	22	12	24
4931428F04Rik	0.887334284346556	4	16	24
4931428L18Rik	0.852279851495482	22	16	24
4931429L15Rik	0.894391248567182	24	20	24
4931431C16Rik	0.388152273845714	24	20	24
4932414N04Rik	0.403092182580168	22	4	24
4932435O22Rik	0.912481257878986	8	4	24
4932438A13Rik	4.86552803682082e-05	6	14	24
4932438H23Rik	0.425244700541384	20	8	24
4933400A11Rik	0.943412960074721	4	12	24
4933402J07Rik	0.866134098454851	8	4	24
4933404G15Rik	0.136092888480805	24	16	24
4933411K16Rik	0.852462219782361	14	12	24
4933414I15Rik	0.846877688390648	22	12	24
4933415F23Rik	0.855708570620782	6	14	24
4933425L06Rik	0.872685275229258	8	4	24
4933427D06Rik	0.85738526917753	24	14	24
4933427D14Rik	0.0331628135560272	16	8	24
4933427E11Rik	0.893421703502403	6	12	24
4933430I17Rik	0.0816422850323405	24	12	24
4933431E20Rik	0.160574056333739	10	4	24
4933434E20Rik	0.0265104531718329	22	4	24
4933436I01Rik	0.000987177939065938	22	12	24
4933440M02Rik	0.0515737065626106	4	8	24
5330439B14Rik	0.318757084943652	16	20	24
5430419D17Rik	0.0108362297088238	22	4	24
5730455P16Rik	0.0591481034189036	4	10	24
6030458C11Rik	0.100525987594387	10	14	24
6030498E09Rik	0.000658118626043958	2	8	24
6330403K07Rik	0.3683330516612	4	14	24
6330549D23Rik	0.891442683957407	24	20	24
6430548M08Rik	0.218287603305846	24	12	24
6820408C15Rik	0.0111053124669746	20	18	24
8030451A03Rik	0.846164075622856	8	12	24
8030462N17Rik	0.0017802874019767	20	4	24
9030612E09Rik	0.012680651195312	22	20	24
9130008F23Rik	0.317324066725999	24	10	24
9130401M01Rik	0.00282317827098501	22	8	24
9330133O14Rik	0.216110498103625	8	10	24
9330175E14Rik	0.335009875289767	22	16	24
9330182L06Rik	0.880762655679464	12	14	24
9530002B09Rik	0.891196952206494	24	20	24
9530003J23Rik	0.955117161382936	24	18	24
9530068E07Rik	0.0989189220349565	14	8	24
9530077C05Rik	0.844998561996364	6	12	24
9630013D21Rik	0.229387745156463	18	8	24
9930012K11Rik	0.292075606417137	2	14	24
