pVal	phase	peak.shape	period
Aars2	0.912595075568482	16	10	24
Aarsd1	0.0220858040975141	24	14	24
Aasdh	5.00491282844849e-08	6	12	24
Aasdhppt	2.38697326076376e-05	6	12	24
Aass	0.746548450408962	12	4	24
Aatf	0.261878455651998	8	10	24
AB124611	0.216363015494993	16	8	24
Abat	0.00405348699837025	10	16	24
Abca1	0.012881568060532	22	14	24
Abca12	0.0064724755856539	22	6	24
Abca13	0.557663124944994	18	10	24
Abca14	0.0556343547009489	18	14	24
Abca2	2.88849842161291e-05	8	14	24
Abca3	0.00644772912663165	8	10	24
Abca4	0.477043768462924	18	14	24
Abca5	0.92951955010856	8	8	24
Abca6	4.13595453318888e-07	16	14	24
Abca7	0.0252553370155978	2	16	24
Abca9	0.0194906305409425	24	14	24
Abcb10	5.56328000036066e-06	24	14	24
Abcb11	2.48672265117783e-11	10	10	24
Abcb6	0.00376939225652567	20	16	24
Abcb9	0.923002250079654	22	16	24
Abcc1	0.568081486099955	10	12	24
Abcc10	0.0131047653832993	14	10	24
Abcc12	0.414806226555231	14	18	24
Abcc2	1.08872735760341e-10	18	12	24
Abcc3	0.458384745156656	18	8	24
Abcc5	0.936256027833309	22	8	24
Abcc6	0.011587507638284	14	8	24
Abcc9	0.747228871028678	20	10	24
Abcd1	0.00359619154646548	8	10	24
Abcd2	0.000627958277191464	16	12	24
Abcd3	0.931411468879172	18	4	24
Abcd4	0.000171343987725565	4	12	24
Abce1	4.58290008050628e-05	24	14	24
Abcf1	5.07988434079071e-06	20	18	24
Abcf2	1.25277750327798e-05	20	16	24
Abcf3	0.0517804616401592	22	4	24
Abcg1	0.956702909997339	20	14	24
Abcg2	0.0169865779551455	4	10	24
Abcg3	0.00662684299464225	16	18	24
Abcg4	0.196720139325034	18	14	24
Abcg5	4.23875417402496e-10	20	10	24
Abcg8	2.2361487164068e-09	14	12	24
Abhd1	0.00360323203285946	24	20	24
Abhd10	0.114543149894354	12	10	24
Abhd11	0.00461326827890334	24	14	24
Abhd12	0.914147212617236	12	10	24
Abhd13	0.0473205921364351	16	20	24
Abhd14a	3.0277512996665e-10	6	12	24
Abhd15	0.00180722653832876	20	16	24
Abhd16a	0.0107118037051379	14	14	24
Abhd16b	0.116352157799533	18	8	24
Abhd17a	0.000244451683840402	20	16	24
Abhd17b	1.3143420422194e-08	20	12	24
Abhd17c	4.69515400327006e-09	12	8	24
Abhd2	0.121144951089295	24	12	24
Abhd3	0.00810813731109169	10	8	24
Abhd4	4.79887696782327e-05	12	10	24
Abhd5	0.00126942720731898	6	6	24
Abhd6	1.46022358399589e-07	24	12	24
Abhd8	7.16011751440923e-05	24	14	24
Abi2	0.0423717193004631	16	18	24
Abi3	0.857403424424682	4	10	24
Abi3bp	0.942467569296723	8	14	24
Abl1	0.0658292310763565	20	14	24
Ablim1	8.39007919589744e-08	6	12	24
Ablim2	0.914915511850136	22	18	24
Ablim3	1.27731832272026e-08	6	12	24
Abo	0.0403902223258085	18	6	24
Abr	0.942875170393442	2	14	24
Abra	0.308735707317504	18	8	24
Abraxas1	0.0693314308060071	12	6	24
Abraxas2	7.01631693274957e-06	4	16	24
Abtb1	8.61003251877234e-05	16	6	24
Acaa2	0.00369137635916604	16	20	24
Acaca	9.51343558262367e-06	24	10	24
Acacb	1.43495729784168e-08	6	10	24
Acad11	0.000414586377666943	16	18	24
Acad8	9.71807087319049e-09	12	6	24
Acad9	0.0431308939961571	6	16	24
Acadl	0.00414649217675586	16	18	24
Acadm	0.0909821845441157	10	12	24
Acads	0.0138453374538921	18	8	24
Acadsb	0.0331078036829064	4	12	24
Acadvl	0.0260938396298923	20	6	24
Acan	0.95567050260206	10	14	24
Acap1	0.00465821567843132	16	8	24
Acap3	0.138412899259585	16	12	24
Acat1	0.26855903055577	10	16	24
Acbd3	0.052802663473966	4	14	24
Acbd4	1.62043510660356e-09	4	14	24
Acbd5	2.77788546827711e-05	16	14	24
Acbd6	0.577781291007136	4	18	24
Accs	0.000356395494469174	12	10	24
Acd	0.0133301831493994	12	14	24
Ace2	0.80723345395825	8	20	24
Acer1	0.824793882287532	22	4	24
Acer2	0.0728258000620764	20	14	24
Acer3	0.10111925147006	24	20	24
Acin1	0.000142158509734636	8	10	24
Ackr1	0.919298165593145	6	20	24
Ackr2	0.00126610427732766	10	10	24
Ackr3	0.352992573516429	18	8	24
Ackr4	0.00621183659760854	18	14	24
Acly	4.37872202980103e-05	2	16	24
Aco1	0.0111051784075906	2	12	24
Aco2	2.9671046130268e-06	24	12	24
Acot11	0.000329020519437123	22	18	24
Acot12	3.05097170299709e-06	18	14	24
Acot13	0.0483536090840579	2	10	24
Acot2	1.37017323773128e-05	12	6	24
Acot3	0.000102069974985849	16	20	24
Acot4	3.78299055864905e-05	20	14	24
Acot5	0.0792773567945269	18	18	24
Acot6	0.0949955310682846	2	14	24
Acot7	0.00196577107519257	22	18	24
Acot8	0.812876290195843	24	12	24
Acox1	0.33944569376121	10	10	24
Acox2	2.25058166997057e-06	10	8	24
Acox3	0.910991138451225	12	10	24
Acp1	7.3673504789469e-06	20	12	24
Acp2	1.10102120666892e-08	6	12	24
Acp5	0.393900209390737	20	16	24
Acp6	1.64543408435593e-06	12	10	24
Acp7	0.315364862376984	12	16	24
Acpp	0.000136760085314333	12	10	24
Acr	0.101541401610492	10	16	24
Acrbp	7.89695111984048e-06	2	18	24
Acrv1	0.333159662395262	18	10	24
Acsbg1	0.0767837239784935	18	10	24
Acsf2	0.223329102580848	10	12	24
Acsl1	0.00525287752026589	24	20	24
Acsl4	8.23529382381992e-10	2	12	24
Acsl5	1.71713943079848e-05	12	6	24
Acsl6	0.764690944544774	10	18	24
Acsm1	0.846557800799697	14	8	24
Acsm2	0.951860940617815	4	8	24
Acsm5	5.38509647845197e-06	18	8	24
Acss1	0.910209135141952	10	18	24
Acta1	0.0597337282052293	22	14	24
Actb	0.00196378900560753	8	8	24
Actg2	0.0148627217152053	12	14	24
Actl11	0.0133301831493994	24	4	24
Actl6a	0.180571828599945	20	6	24
Actl6b	0.860085988300866	18	14	24
Actl7a	0.00813303614649357	18	10	24
Actl7b	0.00148348234851009	18	10	24
Actl9	0.931943849444542	18	14	24
Actn1	2.8163336278444e-07	16	18	24
Actn2	0.039658696119438	16	16	24
Actn3	0.102818913278292	18	10	24
Actn4	2.38716234507875e-08	6	12	24
Actr1a	0.220703766186538	20	16	24
Actr1b	8.16942473903428e-05	20	10	24
Actr2	0.0129449511713078	18	14	24
Actr6	0.000365533840481204	24	10	24
Actrt1	0.0739508225121911	18	10	24
Actrt2	0.265208772353682	18	8	24
Actrt3	0.00636410802990569	10	20	24
Acvr1	0.596109279476951	24	4	24
Acvr1b	0.930373928631038	16	6	24
Acvr2a	0.924628874093254	2	20	24
Acvr2b	0.000173628574228572	20	12	24
Acvrl1	0.00201819163719771	22	6	24
Acy1	0.000877367499824235	20	14	24
Acy3	0.0921951267005756	14	14	24
Acyp1	0.0585624786325778	4	14	24
Acyp2	0.361466535618607	18	14	24
Ada	0.905385816487422	4	14	24
Adad1	0.0101420862977927	18	10	24
Adal	0.00308067821906936	4	18	24
Adam10	0.294504829451019	2	4	24
Adam15	0.936256027833309	18	14	24
Adam1a	0.225679935239594	2	12	24
Adam1b	0.0450812377175556	18	14	24
Adam2	0.00901624754351111	18	14	24
Adam21	0.903469124812797	18	18	24
Adam22	0.0689577579898759	22	6	24
Adam23	4.79887696782327e-05	4	14	24
Adam24	0.973330702716666	22	18	24
Adam26a	0.895869120581473	6	14	24
Adam28	0.0984951595621774	18	10	24
Adam3	0.787391392534851	18	14	24
Adam32	0.871241010114943	18	10	24
Adam33	0.165449998957158	22	10	24
Adam6a	0.86802526502262	18	14	24
Adam6b	0.937855546831129	18	18	24
Adam7	0.0730751146291494	18	14	24
Adam8	0.366024169325711	16	16	24
Adam9	0.00121091498231863	4	12	24
Adamdec1	2.17943938671459e-06	18	12	24
Adamts1	0.0718509782054564	12	6	24
Adamts10	0.603712000682077	12	6	24
Adamts12	0.315139512295201	18	10	24
Adamts16	0.000351826321463159	18	10	24
Adamts18	0.196720139325034	18	14	24
Adamts19	0.00652635996963935	18	10	24
Adamts20	0.00483036325673409	18	14	24
Adamts4	0.107052367696026	10	14	24
Adamts5	0.0251264531355086	12	16	24
Adamts7	0.87164668268619	14	20	24
Adamts8	0.621083392312889	18	6	24
Adamtsl1	0.152155012670378	18	14	24
Adamtsl2	0.415802396321249	20	10	24
Adamtsl4	8.50061763386e-05	18	14	24
Adamtsl5	0.0973870004659283	22	10	24
Adap1	0.229915947617362	18	10	24
Adap2	0.000180663267626759	24	18	24
Adar	0.000124781631623346	12	6	24
Adarb1	1.59761207693309e-09	20	10	24
Adarb2	0.00131608207774849	18	10	24
Adat1	0.0368933152837998	6	12	24
Adat2	1.08971969335729e-06	8	10	24
Adck1	0.00523328462028748	6	12	24
Adck2	0.927260649771721	20	14	24
Adck5	1.59144156338583e-08	10	8	24
Adcy10	0.507779854289086	18	8	24
Adcy3	0.0464850638782234	18	14	24
Adcy4	0.862069240016492	8	10	24
Adcy5	0.914410225015293	16	10	24
Adcy6	6.79820780707958e-05	16	12	24
Adcy7	0.82753715892078	14	4	24
Adcy8	0.0276287713728271	18	10	24
Adcy9	7.20854479392079e-06	14	8	24
Adcyap1	0.219798278022346	22	6	24
Adcyap1r1	0.00626204997299357	18	10	24
Add2	0.659692932834549	18	10	24
Add3	0.962400332346118	12	10	24
Adgb	0.0187485221149189	4	18	24
