pVal	phase	peak.shape	period
Adamdec1	0.724672179286616	8	20	24
Adamts1	0.100096579067758	24	8	24
Adamts10	0.912111236424177	4	20	24
Adamts12	0.00539703163952801	4	20	24
Adamts16	0.324168039624338	4	4	24
Adamts18	0.362336089643308	20	12	24
Adamts19	0.103423390858654	20	12	24
Adamts20	0.879455806354932	4	4	24
Adamts4	0.213152154893879	4	8	24
Adamts5	0.0910796523153561	12	12	24
Adamts7	0.0240558125349464	12	12	24
Adamts8	0.932232670834816	24	8	24
Adamtsl1	0.123268626747814	24	4	24
Adamtsl2	0.182159304630712	20	8	24
Adamtsl4	0.0189771192707491	20	12	24
Adamtsl5	0.229548474501101	20	12	24
Adap1	0.720281604229147	4	8	24
Adap2	0.288529964926549	24	4	24
Adar	0.0153957200223657	8	12	24
Adarb1	0.00149257018926109	16	16	24
Adarb2	0.0279047425405378	20	12	24
Adat1	0.758836984699842	16	16	24
Adat2	0.0189771192707491	4	12	24
Adck1	0.0766928264961823	4	16	24
Adck2	0.689119158866361	4	12	24
Adck5	0.00717187120531806	24	16	24
Adcy10	0.446888629085549	12	16	24
Adcy3	0.879740821839602	4	20	24
Adcy4	0.554168900068893	20	16	24
Adcy5	0.0209799019786182	20	20	24
Adcy6	0.0297193651892684	12	16	24
Adcy7	0.809284193922146	20	16	24
Adcy8	0.195652586455209	20	16	24
Adcy9	0.00155746454531592	12	8	24
Adcyap1	0.0445790477839027	20	16	24
Adcyap1r1	0.871625044826851	12	4	24
Add2	0.0930970286943822	20	12	24
Add3	0.379497043325031	16	4	24
Adgb	0.314029322258468	8	20	24
Adgra1	0.338509964121194	4	12	24
Adgra2	0.169049966959793	20	12	24
Adgrb1	0.979796646949873	4	8	24
Adgrb2	0.103423390858654	20	12	24
Adgre1	0.106347386074706	4	8	24
Adgre4	0.00506887612463783	8	4	24
Adgrf1	0.000868034563558076	8	12	24
Adgrf4	0.687933806982074	20	4	24
Adgrg1	0.724672179286616	20	20	24
Adgrg2	0.00817759834437044	16	12	24
Adgrg3	0.00785049441059562	8	12	24
Adgrg6	0.225026272432916	8	8	24
Adgrl1	0.932232670834816	20	8	24
Adgrl2	0.406603974991105	8	12	24
Adgrl3	0.677673291651841	16	20	24
Adgrl4	0.918825545155148	24	12	24
Adgrv1	0.953052556992902	4	4	24
Adh1	0.868156695301513	24	16	24
Adh4	7.00027873837158e-06	8	12	24
Adh5	0.491313136447585	16	12	24
Adh7	0.858165449544497	8	20	24
Adhfe1	0.00418441518832918	12	16	24
Adi1	0.0481116250698927	16	8	24
Adig	0.948665810511364	20	4	24
Adipoq	0.098800343140936	8	8	24
Adipor1	0.0910796523153561	16	12	24
Adipor2	0.288529964926549	24	20	24
Adm	0.787564752990127	24	12	24
Adm2	0.338999516649602	24	16	24
Adnp2	0.195652586455209	8	8	24
Ado	0.878887635758228	20	16	24
Adora1	3.89705010250936e-06	12	16	24
Adora2a	0.000462224029549806	4	8	24
Adora2b	0.431478676358461	20	20	24
Adpgk	0.04534462372229	20	12	24
Adprh	7.00027873837158e-06	4	12	24
Adprhl1	0.0885796179884254	20	16	24
Adprhl2	0.527088903573426	4	16	24
Adprm	0.480187736152764	8	12	24
Adra1a	0.324168039624338	12	4	24
Adra1b	0.00359814327152299	24	16	24
Adra2a	0.338509964121194	20	20	24
Adra2b	0.379497043325031	8	4	24
Adra2c	0.491889588216645	20	20	24
Adrb1	0.585654337303806	4	4	24
Adrb3	0.208034361815686	8	12	24
Adsl	0.328900778049162	8	8	24
Adss	0.809284193922146	16	12	24
Adssl1	0.202399227367458	12	16	24
Adtrp	0.519291397922113	24	16	24
Aebp1	0.456125146139379	20	20	24
AF366264	0.334654456438695	8	8	24
Afap1	0.0105601585929955	4	8	24
Afap1l1	0.00149257018926109	16	16	24
Afap1l2	0.338180350333754	8	8	24
Aff1	0.044487368474559	16	4	24
Aff2	0.879455806354932	20	4	24
Aff3	0.953052556992902	16	16	24
Aff4	0.00785049441059562	16	12	24
Afg1l	0.519291397922113	20	16	24
Afg3l1	0.00686005071813032	8	12	24
Afg3l2	0.011180189216955	16	4	24
Afm	0.882864395033301	8	12	24
Afmid	0.000446102965761814	20	8	24
Afp	0.253402858966322	12	12	24
Aftph	0.0101377522492757	12	8	24
Aga	0.762442045594322	12	8	24
Agap1	0.0101377522492757	16	16	24
Agbl3	0.689119158866361	8	12	24
Agbl5	0.00470746708687033	12	16	24
Ager	0.0481946491807723	20	12	24
Agfg1	0.0107808967449209	16	4	24
Agfg2	0.0368388999476226	12	12	24
Aggf1	0.288529964926549	24	20	24
Agmo	0.00785049441059562	16	12	24
Ago2	0.00146242186734345	16	16	24
Ago4	0.00948855963537457	12	8	24
Agpat1	0.0037616952384104	16	16	24
Agpat4	0.758836984699842	16	8	24
Agpat5	0.63724263937602	24	12	24
Agps	0.838101004641203	8	4	24
Agr2	0.725378494545417	20	12	24
Agr3	0.510363276283183	8	8	24
Agrn	0.159521079112059	4	16	24
Agrp	0.882864395033301	4	4	24
Agt	0.658861129466782	12	4	24
Agtr1a	0.00591368881207747	8	12	24
Agtr1b	0.789338457994264	12	8	24
Agxt	0.00268110675679632	8	12	24
Ahctf1	0.00316858071257746	24	12	24
Ahcyl1	0.491889588216645	24	4	24
Ahcyl2	0.242335985696986	20	20	24
Ahdc1	0.0240973245903861	24	20	24
Ahi1	0.456125146139379	4	4	24
Ahnak	0.528632412817892	24	16	24
Ahr	0.00418441518832918	12	16	24
Ahrr	0.519291397922113	24	16	24
Ahsa1	0.0224510750775174	20	16	24
Ahsa2	0.509754828739772	20	16	24
Ahsg	0.0215156136159542	12	8	24
AI413582	0.951119652471759	4	4	24
AI467606	0.278912299428997	24	8	24
AI504432	0.912250292278758	4	8	24
AI597479	0.943563348025011	16	16	24
AI661453	0.859917258727593	4	12	24
AI837181	0.0519605550754842	12	16	24
AI854703	0.4409209746014	20	16	24
AI987944	0.0605075698909083	8	20	24
Aicda	0.206882285987516	20	20	24
Aif1	0.099857067035942	8	12	24
Aif1l	0.878887635758228	4	8	24
Aifm1	0.204414503050212	8	12	24
Aifm2	0.0014014876228708	16	16	24
Aifm3	0.349758552330605	16	8	24
Aig1	0.259676968433894	24	20	24
Aim2	0.00316858071257746	8	12	24
Aimp1	0.204414503050212	8	12	24
Aimp2	0.687933806982074	16	16	24
Aip	0.519291397922113	8	16	24
Aipl1	0.147566876464993	20	16	24
Aire	0.933786828037557	4	12	24
Airn	0.000132499703485318	12	8	24
Ajm1	0.0387051406653604	20	20	24
Ajuba	0.035838093208667	20	20	24
Ak1	0.840410509072998	4	8	24
Ak2	0.0470886477116089	16	12	24
Ak3	0.0500360900726885	20	8	24
Ak4	2.72793507175655e-05	16	16	24
Ak5	0.935133571830463	8	20	24
Akap1	0.019767832573697	8	12	24
Akap10	0.0160372083566309	16	4	24
Akap12	0.874026929435918	24	4	24
Akap3	0.947136758718211	4	12	24
Akap4	0.046187160067097	24	16	24
Akap6	0.491889588216645	12	20	24
Akap8	0.00520428050954487	16	4	24
Akap8l	0.000270465314891629	8	12	24
Akap9	0.0240558125349464	8	12	24
Akip1	0.0401386643937071	8	20	24
Akna	0.728355774529931	4	4	24
Aknad1	0.724672179286616	4	4	24
Aknaos	0.546207976608017	20	4	24
Akp3	0.928168465804259	20	20	24
Akr1a1	0.720281604229147	8	20	24
Akr1b10	0.903962452769447	4	8	24
Akr1b7	0.549616568004283	20	8	24
Akr1b8	0.103803859773971	4	16	24
Akr1c14	0.0075233904768208	16	12	24
Akr1c18	0.855256646164794	8	12	24
Akr1c20	0.456125146139379	16	20	24
Akr1c21	0.573278172485062	8	16	24
Akr1c6	0.201297827579616	16	8	24
Akr1cl	0.0843330114031075	12	12	24
Akr1e1	0.141313195016311	8	20	24
Akr7a5	0.229548474501101	20	8	24
Akt1	0.020580152154391	16	8	24
Akt3	0.156681219151763	16	12	24
Aktip	0.844380921692038	8	20	24
Alad	0.912152653258746	20	4	24
Alas1	0.000138260560158593	16	16	24
Alas2	0.0233865365390806	20	8	24
Alb	0.0275843047983355	4	20	24
Aldh16a1	0.0218002998664856	20	8	24
Aldh18a1	0.0243219980006439	4	16	24
Aldh1a2	0.0889747369491181	20	16	24
Aldh1a3	0.0891580955678053	20	12	24
Aldh1b1	0.349758552330605	24	16	24
Aldh1l1	0.0114049712804351	8	8	24
Aldh1l2	0.914395266284491	4	20	24
Aldh2	0.95028886150194	12	20	24
Aldh3a1	0.0221399724825407	4	12	24
Aldh3a2	0.195652586455209	12	16	24
Aldh3b1	0.890892339754994	8	8	24
Aldh4a1	0.0519605550754842	12	16	24
Aldh5a1	0.202399227367458	12	16	24
Aldh6a1	0.00453311645402328	12	16	24
Aldh7a1	0.0271283823853335	8	8	24
