pVal	phase	peak.shape	period
Aagab	0.0194258351653873	12	4	24
Aamdc	0.242335985696986	20	12	24
Aamp	0.00155746454531592	20	8	24
Aanat	0.42482842625068	16	12	24
Aar2	0.670693069414946	24	12	24
Aard	0.202374452122124	12	20	24
Aars2	0.934062516783	16	20	24
Aarsd1	0.78350762235274	24	16	24
Aasdh	0.00418441518832918	8	8	24
Aasdhppt	0.0193288070484846	4	12	24
Aass	0.97564755175694	12	4	24
Aatf	0.519291397922113	8	12	24
AB124611	0.233505479992354	16	8	24
Abat	0.659374832170001	12	12	24
Abca1	0.044487368474559	24	12	24
Abca12	0.127519269049463	24	4	24
Abca13	0.163051240339489	24	12	24
Abca14	0.300035029910554	20	12	24
Abca2	0.019767832573697	8	12	24
Abca3	0.100096579067758	8	8	24
Abca4	0.792948619226838	20	20	24
Abca5	0.157391348548772	12	4	24
Abca6	0.00149257018926109	16	16	24
Abca7	0.172401904989597	8	4	24
Abca9	0.0243219980006439	20	16	24
Abcb10	4.90019511686011e-05	24	12	24
Abcb11	0.00024161710635558	8	12	24
Abcb6	0.0105601585929955	20	16	24
Abcb9	0.693447872718955	16	4	24
Abcc1	0.0500360900726885	4	16	24
Abcc10	0.0448244952972951	12	12	24
Abcc12	0.658861129466782	12	20	24
Abcc2	3.55817618055202e-06	16	16	24
Abcc3	0.577059929853098	24	16	24
Abcc5	0.960375472305529	12	20	24
Abcc6	0.879740821839602	12	20	24
Abcc9	0.0427958858725466	20	8	24
Abcd1	0.147438279815142	24	20	24
Abcd2	0.0151268924727271	20	8	24
Abcd3	0.934062516783	16	4	24
Abcd4	0.0028029752457416	4	12	24
Abce1	0.00094694679660881	24	12	24
Abcf1	0.00155746454531592	20	16	24
Abcf2	0.00240938912478929	20	16	24
Abcf3	0.0885796179884254	20	8	24
Abcg1	0.240395262542571	16	12	24
Abcg2	0.0233865365390806	4	8	24
Abcg3	0.491381290701482	16	20	24
Abcg4	0.350599605696951	16	16	24
Abcg5	4.90019511686011e-05	20	12	24
Abcg8	0.00948855963537457	12	16	24
Abhd1	0.206882285987516	24	20	24
Abhd10	0.103423390858654	12	12	24
Abhd11	0.0382557807148389	24	16	24
Abhd12	0.789544001842982	12	20	24
Abhd13	0.114767342144517	20	4	24
Abhd14a	2.72793507175655e-05	8	8	24
Abhd15	0.00435876582117623	20	16	24
Abhd16a	0.0233865365390806	20	8	24
Abhd16b	0.912111236424177	24	20	24
